ABOUT US,حول المعهد,
VISION,رؤية المعهد,
MESSAGE,رسالة المعهد,
SERVICES,خدماتنا,
PROJECTS,مشاريعنا,
PARTNERSHIPS,شراكاتنا,
PARTNERS,شركاؤنا,
JOBS,الوظائف,
CONNECT WITH US,تواصل معنا,
"Employment Date","تاريخ التوظيف",
"House Rent Allowance","بدل السكن",
"The salary structure has not been assigned. Please contact the HR department for assistance.","لم يتم تعيين هيكل الرواتب. يرجى الاتصال بقسم الموارد البشرية للحصول على المساعدة.",
"Salary Structure","هيكلية الرواتب",
"You have already applied for the document on {0}. Therefore, you are not permitted to apply for the same document again.","لقد قمت بالفعل بتقديم طلب للحصول على المستند بتاريخ {0}. ولذلك، لا يسمح لك بالتقدم بطلب للحصول على نفس الوثيقة مرة أخرى.",
"SALARY CONFIRMATION","تأكيد الراتب",
"After saving, you cannot change the Document Type. Please delete it or create a new one.","بعد الحفظ، لا يمكنك تغيير نوع المستند. يرجى حذفه أو إنشاء واحدة جديدة.",
"Document Type","نوع الوثيقة",
Overview,ملخص,
Joining,انضمام,
"Attendance & Leaves","الحضور والانصراف",
Connections,روابط,
"SALARY CERTIFICATE","شهادة الراتب",
Accountant,محاسب,
Clear All,امسح الكل,
Job Openings,فرص العمل,
"Applications received:","الطلبات المستلمة:",
"Closes on:","يغلق في:",
Apply,يتقدم,
Showing,عرض,
result,نتيجة,
results,نتائج,
"Employment Type","نوع الوظيفة",
"2024 Imam Abdulrahman Bin Faisal University. All rights reserved","2024 جامعة الامام عبدالرحمن بن فيصل. كل الحقوق محفوظة",
"Imam Abdulrahman bin Faisal University is one of the pillars of higher education in the Kingdom of Saudi Arabia. The University, with its specific, human and material resources, has a key role in scientific research, academic supervision and community service. The University has a wide base of qualified scientific and technical staff from the best local universities and a strong environment in all its faculties, scientific departments, research centers, laboratories, and modern information system.","تعتبر جامعة الإمام عبدالرحمن بن فيصل إحدى ركائز التعليم العالي في المملكة العربية السعودية، فالجامعة بما تملكه من إمكانات علمية وبشرية ومادية لها دور أساسي ومتميز في البحث العلمي والاشراف الاكاديمي وخدمة المجتمع، حيث تتميز الجامعة بقاعدة عريضة من الكوادر العلمية والفنية والادارية المؤهلة من أرقى الجامعات المحلية والعالمية، وبيئة أساسية متينة بمختلف كلياتها وأقسامها العلمية ومراكز ابحاثها ومختبراتها ومكتباتها وأنظمتها المعلوماتية الحديثة.
",
"The Institute of Consulting Studies at Imam Abdulrahman bin Faisal University is the link between the university, the public and private sectors and civil society institutions as a national consultancy, providing research, contractual studies, professional, academic and administrative consultations with high quality in line with the requirements of national development and Saudi labor market. And the requirements of the local community and work to achieve the vision of the Kingdom 2030 in building an ambitious homeland and a prosperous economy and a vibrant knowledge society developed through the vast material and human resource owned by the University.","يعد معهد الدراسات الاستشارية بجامعة الإمام عبدالرحمن بن فيصل حلقة الوصل بين الجامعة والقطاعين العام والخاص ومؤسسات‭ ‬المجتمع‭ ‬المدني كبيت خبرة وطني متميز بتقديم الابحاث والدراسات التعاقدية والاستشارات المهنية والاكاديمية والادارية بجودة عالية تتوافق مع متطلبات التنمية الوطينة وسوق العمل السعودي، وبشكل‭ ‬يعكس‭ ‬قدرة‭ ‬الجامعة‭ ‬على‭ ‬التفاعل‭ ‬مع‭ ‬احتياجات‭ ‬المجتمع‭ ‬المتعددة‭ ‬والمتجددة‭ ‬والعمل‭ ‬على‭‬ تحقيق رؤية المملكة العربية السعودية 2030 في بناء وطن طموح وإقتصاد مزدهر ومجتمع حيوي معرفي متطور ‬من‭ ‬خلال‭ ‬الإمكانات‭ ‬المادية  والبشرية ‬الكبيرة‭ ‬التي‭ ‬تملكها‭ ‬الجامعة‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬",
"Local and regional leadership in providing advisory studies and distinguished training services.","الريادة المحلية والإقليمية في تقديم الدراسات الاستشارية والخدمات التدريبية المتميزة.",
"Providing high quality advisory and training services that contribute to serving the local community, achieving sustainable development, and transferring and localizing knowledge By hiring and harnessing Possibilities and resources the University Humanity and material and cognitive.","تقديم خدمات استشارية وتدريبية متميزة ذات جودة عالية تسهم في خدمة المجتمع المحلي وتحقيق التنمية المستدامة ونقل المعرفة وتوطينها، وذلك من خلال توظيف وتسخير إمكانيات وموارد الجامعة البشرية والمادية والمعرفية.",
Accounts,حسابات,
Applications Received,الطلبات المستلمة,
"The university is distinguished by providing more than 40 services through the institute, the most prominent of which are:","تتميز الجامعة في تقديم أكثر من 40 خدمة من خلال المعهد، وأبرزها:",
"Data management services","خدمات إدارة البيانات",
"Financial and strategic consulting","استشارات مالية واستراتيجية",
"Business and management consulting","استشارات الأعمال واستشارات إدارية",
"Maintenance and operation","الصيانة والتشغيل",
"Information technology services","خدمات تقنية المعلومات",
"Technical consulting","استشارات تقنية",
"Marketing consulting","استشارات تسويقية",
"Medical consulting","استشارات طبية",
"Cyber security services","خدمات الأمن السيبراني",
"Establishing vision realization offices","تأسيس مكاتب تحقيق الرؤية",
"Establishing project management offices","تأسيس مكاتب إدارة المشاريع",
"Legal advice","استشارات قانونية",
"Call centers","خدمات مراكز الاتصال",
"Support and support services","خدمات الدعم والإسناد",
"Logistics Services","الخدمات اللوجستية",
Training,خدمات التدريب,
Our Vision,رؤية المعهد,
Our Message,رسالة المعهد,
Outside the University,خارج الجامعة,
Within the University,داخل الجامعة,
INSTITUTE OF CONSULTING STUDIES AND SERVICES,معهد الدراسات والخدمات الاستشارية,
Employment_Type,نوع الوظيفة,
Login,الخدمات الإلكترونية,
Have you been registered with GOSI ?,هل تم التسجيل في التامينات الاجتماعية ؟,
Have you been excluded from GOSI?,هل تم الاستبعاد من التامينات الاجتماعية ؟,
Note for (Have you been registered with GOSI ?),ملاحظات (هل تم التسجيل في التامينات الاجتماعية ؟),
Note for (Have you been excluded from GOSI?),ملاحظات (هل تم الاستبعاد من التامينات الاجتماعية ؟),
Is the employee registered with medical insurance?,هل تم تسجيل الموظف في التامين الطبي ؟,
Are the employee’s dependents registered for medical insurance?,هل تم تسجيل التابعين للموظف في التامين الطبي ؟,
Note for (Is the employee registered with medical insurance?),ملاحظات (هل تم تسجيل الموظف في التامين الطبي ؟),
Note for (Are the employee’s dependents registered for medical insurance?),ملاحظات (هل تم تسجيل التابعين للموظف في التامين الطبي ؟),
First Name English,الاسم الأول (انجليزي),
First Name Arabic,الاسم الأول (عربي),
Second Name English,الاسم الثاني (انجليزي),
Second Name Arabic,الاسم الثاني (عربي),
Third Name English,الاسم الثالث (انجليزي),
Third Name Arabic,الاسم الثالث (عربي),
Last Name English,الاسم الاخير (انجليزي),
Last Name Arabic,الاسم الاخير (عربي),
Job Title English,المسمى الوظيفي (انجليزي),
Job Title Arabic,المسمى الوظيفي (عربي),
Department English,القسم (انجليزي),
Department Arabic,القسم (عربي),
Last Job Title,آخر مسمى وظيفي,
Total Experience (Years),سنوات الخبرة الاجمالية,
Contract Duration in Years,مدة العقد (سنوات),
Contract Duration in Months,مدة العقد  (اشهر),
Contract Duration in Days,مدة العقد  (ايام),
Work Email,البريد الإلكتروني (العمل),
No of Leaves Taken (Days),عدد أيام الاجازات التي استخدمت (الايام),
Gosi Applicable (Yes/No),خاضع لخصم التامينات الاجتماعية (نعم/لا),
Basic Salary,الراتب الاساسي,
Other Allowances,بدلات أخرى,
Professional License,الرخصة المهنية,
National Address,العنوان الوطني,
Passport,جواز السفر,
CV,السيرة الذاتية,
Personal Photo,الصورة الشخصية,
IBAN Certificate,شهادة IBAN,
National ID / Residency Number,الهوية الوطنية / رقم الإقامة,
Certificate,الشهادة,
Scientific and Academic Certificates,الشهادات العلمية والأكاديمية,
Family Cards,بطاقة العائلة,
Card,بطاقة,
Medical insurance,التأمين الطبي,
GOSI,التامينات الاجتماعية,
Profile,الحساب التعريفي,
Feedback,التغذية الراجعة,
Requested Date,الموعد المطلوب,
Language,اللغة,
National ID / Residency Number,الهوية الوطنية / رقم الإقامة,
Company Details,تفاصيل الشركة,
Pre Onboarding,ما قبل الانضمام,
Contract Duration,مدة العقد,
Contract End Date,تاريخ انتهاء العقد,
Salary Breakup,تفاصيل الراتب,
Generate Salary Structure Assignment, هيكل الرواتب,
Passport Details,تفاصيل جواز السفر,
Family Card,بطاقة العائلة,
Personal Photo,صورة شخصية,
Scientific and Academic Certificates,الشهادات العلمية والأكاديمية,
Certificate 1,شهادة 1,
Certificate 2شهادة 2,
Certificate 3,شهادة 3,
Certificate 4,شهادة 4,
Certificate 5,شهادة 5,
Card 1,بطاقة 1,
Card 2,بطاقة 2,
Card 3,بطاقة 3,
Card 4,بطاقة 4,
Card 5,بطاقة 5,
Leave Policy Assignment,سياسة الاجازات,
Employee Grievance,شكاوي الموظفين,
Exit Interview,مقابلة نهاية الخدمة,
Full and Final Statement,الملخص الكامل والنهائي,
Shift,الانتقال,
Attendance Device ID (Biometric/RF tag ID),معرف جهاز الحضور (معرف البصمة),
Personal Email,البريد الإلكتروني الشخصي,
Photographer,مصور,
Program Presenters,معد برامج,
Montage Technician,فني مونتاج,
Production Supervisor,مشرف إنتاج,
Technical,فني,
Program Director,مخرج برامج,
Executor,منفذ فترات,
Program Compilers and Presenters,معد ومقدم برامج,
Technical Operator,فني تشغيل,
